date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,localidad,lat_lon
2020-01-01,288.2061297098796,101471.79345703125,27459336.0,293.4237944285075,-4.374050339063008,2.201364517211914,Bahía Blanca,"-38.7196, -62.2683"
2020-01-02,286.8991502126058,101507.34635416667,32500472.0,294.96004931132,-2.676633358001709,-2.323652903238932,Bahía Blanca,"-38.7196, -62.2683"
2020-01-03,287.63261731465656,101440.54134114583,32071140.0,298.1170139312744,-0.38376402854919434,-5.085501988728841,Bahía Blanca,"-38.7196, -62.2683"
2020-01-04,288.80770937601727,100873.34554036458,18240432.0,297.2272205352783,0.42143722375233966,-2.076856176058451,Bahía Blanca,"-38.7196, -62.2683"
2020-01-05,288.4685643513997,100257.99186197917,14994120.0,293.30271593729657,-3.703857898712158,-0.025224685668945312,Bahía Blanca,"-38.7196, -62.2683"
2020-01-06,283.1491813659668,100014.90852864583,26851844.0,292.85904121398926,4.293397307395935,3.124840418497721,Bahía Blanca,"-38.7196, -62.2683"
2020-01-07,280.43758900960285,100102.36507161458,32691968.0,294.9115784962972,3.6940258344014487,-2.5771872202555337,Bahía Blanca,"-38.7196, -62.2683"
2020-01-08,287.60620371500653,99815.37613932292,21288228.0,297.21974500020343,1.7774429321289062,-3.2811368306477866,Bahía Blanca,"-38.7196, -62.2683"
2020-01-09,279.55312093098956,100430.26481119792,32511900.0,294.1813659667969,5.3921559651692705,-0.2730859120686849,Bahía Blanca,"-38.7196, -62.2683"
2020-01-10,281.0739517211914,100822.41878255208,33068156.0,293.6647440592448,1.772473653157552,1.2417208353678386,Bahía Blanca,"-38.7196, -62.2683"
2020-01-11,281.9815247853597,100754.12044270833,32583856.0,296.21850776672363,0.6080239613850912,-1.7245057423909504,Bahía Blanca,"-38.7196, -62.2683"
2020-01-12,281.3615144093831,101261.50504557292,30141464.0,296.482613881429,-3.7473435004552207,-2.0439669688542685,Bahía Blanca,"-38.7196, -62.2683"
2020-01-13,285.1662489573161,101036.17106119792,11153816.0,295.524320602417,-2.574687957763672,-4.679920117060344,Bahía Blanca,"-38.7196, -62.2683"
2020-01-14,290.2006238301595,100122.45686848958,30052552.0,299.1535237630208,3.7996304829915366,-4.47642199198405,Bahía Blanca,"-38.7196, -62.2683"
2020-01-15,276.30071957906085,100407.86588541667,32932168.0,295.1160430908203,4.87509028116862,3.811740438143412,Bahía Blanca,"-38.7196, -62.2683"
2020-01-16,275.92110379536945,101543.12418619792,33104656.0,291.38103612263996,1.3839260339736938,1.3884467283884685,Bahía Blanca,"-38.7196, -62.2683"
2020-01-17,280.0895601908366,101535.48551432292,32463496.0,294.31130091349286,0.69965660572052,-4.904216289520264,Bahía Blanca,"-38.7196, -62.2683"
2020-01-18,287.8027578989665,100906.39208984375,31494180.0,299.73717880249023,2.111088236172994,-4.1114256381988525,Bahía Blanca,"-38.7196, -62.2683"
2020-01-19,289.7338460286458,100632.36604817708,31556620.0,301.8212191263835,0.8782424926757812,-3.859676241874695,Bahía Blanca,"-38.7196, -62.2683"
2020-01-20,290.387544631958,100717.93131510417,27550360.0,300.0301233927409,-3.579943577448527,1.922599156697591,Bahía Blanca,"-38.7196, -62.2683"
2020-01-21,287.28689511617023,101025.93294270833,31294476.0,298.0112730662028,-3.5923078854878745,1.8424688577651978,Bahía Blanca,"-38.7196, -62.2683"
2020-01-22,288.19328117370605,101157.73014322917,31133324.0,299.359925587972,-2.8735881646474204,-0.3843297561009725,Bahía Blanca,"-38.7196, -62.2683"
2020-01-23,288.6802584330241,100798.90152994792,30707992.0,302.01106961568195,1.5719598134358723,-5.702823003133138,Bahía Blanca,"-38.7196, -62.2683"
2020-01-24,288.23488744099933,100429.17333984375,30872904.0,300.9661515553792,1.1896158854166667,-0.6627877553304037,Bahía Blanca,"-38.7196, -62.2683"
2020-01-25,284.36776542663574,100501.32682291667,30860648.0,298.21588071187335,-1.3411216735839844,1.6020583311716716,Bahía Blanca,"-38.7196, -62.2683"
2020-01-26,283.3258908589681,100689.50862630208,29574868.0,296.10564104715985,-1.8383331298828125,1.3831799825032551,Bahía Blanca,"-38.7196, -62.2683"
2020-01-27,278.4253838857015,101422.26806640625,31083152.0,293.74044100443524,-2.233558019002279,-1.139425277709961,Bahía Blanca,"-38.7196, -62.2683"
2020-01-28,283.93418884277344,100264.19710286458,24249496.0,298.47482681274414,3.9351507822672525,-5.2249802350997925,Bahía Blanca,"-38.7196, -62.2683"
2020-01-29,282.98964818318683,100880.30029296875,25614200.0,293.83585993448895,-2.36857541402181,2.3538126945495605,Bahía Blanca,"-38.7196, -62.2683"
2020-01-30,280.52365748087567,101078.78531901042,30757096.0,296.127986907959,1.2035602728525798,-2.8019110759099326,Bahía Blanca,"-38.7196, -62.2683"
