obs_id,timestart,timeend,valor,timeupdate,seriesId,siteCode
25671322243,2025-09-18 00:00:00,2025-09-18 00:00:00,0.66,2025-09-18 18:01:45.740123,8,8
25678429536,2025-09-19 00:00:00,2025-09-19 00:00:00,0.46,2025-09-19 12:01:56.589385,8,8
25671322611,2025-09-18 00:00:00,2025-09-18 00:00:00,8.6,2025-09-18 18:01:46.129692,9,9
25678429676,2025-09-19 00:00:00,2025-09-19 00:00:00,8.4,2025-09-19 12:01:56.830545,9,9
25671322635,2025-09-18 00:00:00,2025-09-18 00:00:00,9.2,2025-09-18 18:01:46.298099,10,10
25678429768,2025-09-19 00:00:00,2025-09-19 00:00:00,9.0,2025-09-19 12:01:56.992864,10,10
25671322691,2025-09-18 00:00:00,2025-09-18 00:00:00,6.3,2025-09-18 18:01:46.480108,11,11
25678429870,2025-09-19 00:00:00,2025-09-19 00:00:00,6.7,2025-09-19 12:01:57.169619,11,11
25671322824,2025-09-18 00:00:00,2025-09-18 00:00:00,6.62,2025-09-18 18:01:46.627003,12,12
25678429953,2025-09-19 00:00:00,2025-09-19 00:00:00,6.7,2025-09-19 12:01:57.352372,12,12
25671322927,2025-09-18 00:00:00,2025-09-18 00:00:00,7.35,2025-09-18 18:01:46.797234,13,13
25678430019,2025-09-19 00:00:00,2025-09-19 00:00:00,7.38,2025-09-19 12:01:57.494087,13,13
25671323011,2025-09-18 00:00:00,2025-09-18 00:00:00,10.0,2025-09-18 18:01:46.957042,14,14
25678430154,2025-09-19 00:00:00,2025-09-19 00:00:00,10.0,2025-09-19 12:01:57.649892,14,14
25671323189,2025-09-18 00:00:00,2025-09-18 00:00:00,0.8,2025-09-18 18:01:47.162326,15,15
25678430302,2025-09-19 00:00:00,2025-09-19 00:00:00,1.1,2025-09-19 12:01:57.846652,15,15
25671323314,2025-09-18 00:00:00,2025-09-18 00:00:00,1.14,2025-09-18 18:01:47.385887,16,16
25678430328,2025-09-19 00:00:00,2025-09-19 00:00:00,1.1,2025-09-19 12:01:58.024188,16,16
25671323507,2025-09-18 00:00:00,2025-09-18 00:00:00,1.91,2025-09-18 18:01:47.687437,17,17
