,rio_id,dias_faltantes
354,85-85,999
264,52-52,986
235,36963-7276,962
106,33252-6740,955
230,36918-7265,950
232,36921-7267,949
9,18621-5430,949
183,35405-6949,939
186,35411-6952,939
184,35407-6950,938
185,35409-6951,937
244,37040-7294,928
60,32710-6569,920
222,36870-7251,888
147,33952-6744,874
333,7058-2230,861
204,36828-7231,854
159,34086-6626,839
89,33067-6672,836
118,33424-6719,808
210,36837-7237,796
135,33766-6611,789
158,34080-6618,778
73,32870-6591,771
245,37041-7295,766
203,36827-7230,766
161,34088-6657,752
104,33250-6718,747
173,34219-6722,747
237,36968-7279,746
234,36962-7275,743
113,33394-6649,737
208,36833-7235,719
248,37055-7301,713
218,36858-7247,709
228,36906-7261,698
65,3278-1696,698
188,36690-7163,690
23,29437-5907,687
281,6706-2203,678
199,36732-7193,674
292,6764-2115,671
151,33988-6621,670
26,29440-5901,669
154,34010-6721,669
215,36844-7242,668
361,9108-2825,667
231,36920-7266,663
369,9442-2830,663
374,9550-2853,663
376,9552-2855,662
375,9551-2854,662
227,36905-7260,660
249,37064-7302,656
119,33426-6738,656
359,9021-2832,655
331,6955-2119,652
22,29436-5905,651
290,6755-2139,650
312,6856-2113,649
171,34179-6743,644
67,32820-6498,643
313,6857-2121,643
136,33793-6707,643
21,29435-5893,641
315,6870-2162,641
364,9199-2833,639
293,6766-2227,637
146,33948-6745,636
124,33505-6570,634
279,6704-2202,634
205,36829-7232,633
25,29439-5900,632
83,33058-6639,631
127,33519-6648,631
126,33517-6627,630
114,33395-6654,630
84,33059-6625,629
195,36727-7188,629
351,8313-2673,628
200,36733-7194,628
197,36729-7190,628
192,36723-7184,628
198,36730-7191,628
196,36728-7189,628
201,36735-7196,628
194,36726-7187,628
246,37042-7296,627
233,36950-7270,627
224,36875-7255,627
225,36886-7258,627
98,33204-6610,627
193,36724-7185,627
170,34178-6746,627
190,36693-7166,627
105,33251-6730,625
167,34147-6631,625
213,36841-7240,625
111,33392-6628,624
202,36786-7204,623
209,36835-7236,623
217,36848-7245,623
216,36845-7243,622
212,36840-7239,622
250,37065-7303,622
242,37029-7291,622
137,33811-6739,622
144,33913-6597,622
165,34139-6581,622
226,36888-7259,621
223,36871-7252,621
206,36831-7233,621
207,36832-7234,621
211,36838-7238,621
219,36859-7248,621
220,36860-7249,621
221,36862-7250,621
214,36842-7241,621
247,37043-7297,621
238,36996-7283,621
240,37013-7286,621
241,37019-7288,621
243,37038-7293,621
236,36964-7277,621
229,36917-7264,621
95,33188-6577,621
191,36694-7167,621
175,34314-6748,621
116,33399-6678,621
125,33516-6640,621
90,33068-6681,621
