,rio_id,dias_faltantes
354,85-85,999
264,52-52,986
235,36963-7276,961
106,33252-6740,954
230,36918-7265,949
232,36921-7267,948
9,18621-5430,948
183,35405-6949,938
186,35411-6952,938
184,35407-6950,937
185,35409-6951,936
244,37040-7294,927
60,32710-6569,919
222,36870-7251,887
147,33952-6744,873
333,7058-2230,860
204,36828-7231,853
159,34086-6626,838
89,33067-6672,835
118,33424-6719,807
210,36837-7237,795
135,33766-6611,788
158,34080-6618,777
73,32870-6591,770
245,37041-7295,765
203,36827-7230,765
161,34088-6657,751
104,33250-6718,746
173,34219-6722,746
237,36968-7279,745
234,36962-7275,742
113,33394-6649,736
208,36833-7235,718
248,37055-7301,712
218,36858-7247,708
65,3278-1696,698
228,36906-7261,697
188,36690-7163,689
23,29437-5907,687
281,6706-2203,678
199,36732-7193,673
292,6764-2115,670
26,29440-5901,669
151,33988-6621,669
154,34010-6721,668
361,9108-2825,667
215,36844-7242,667
374,9550-2853,663
369,9442-2830,663
231,36920-7266,662
376,9552-2855,662
375,9551-2854,662
227,36905-7260,659
249,37064-7302,655
359,9021-2832,655
119,33426-6738,655
331,6955-2119,652
22,29436-5905,651
290,6755-2139,649
312,6856-2113,649
313,6857-2121,643
171,34179-6743,643
67,32820-6498,642
136,33793-6707,642
21,29435-5893,641
315,6870-2162,641
364,9199-2833,639
293,6766-2227,637
146,33948-6745,635
124,33505-6570,633
279,6704-2202,633
205,36829-7232,632
25,29439-5900,632
83,33058-6639,630
127,33519-6648,630
126,33517-6627,629
114,33395-6654,629
351,8313-2673,628
195,36727-7188,628
84,33059-6625,628
200,36733-7194,627
197,36729-7190,627
192,36723-7184,627
198,36730-7191,627
196,36728-7189,627
201,36735-7196,627
194,36726-7187,627
246,37042-7296,626
233,36950-7270,626
224,36875-7255,626
225,36886-7258,626
98,33204-6610,626
193,36724-7185,626
170,34178-6746,626
190,36693-7166,626
105,33251-6730,624
167,34147-6631,624
213,36841-7240,624
111,33392-6628,623
202,36786-7204,622
209,36835-7236,622
217,36848-7245,622
216,36845-7243,621
212,36840-7239,621
250,37065-7303,621
242,37029-7291,621
137,33811-6739,621
144,33913-6597,621
165,34139-6581,621
226,36888-7259,620
223,36871-7252,620
206,36831-7233,620
207,36832-7234,620
211,36838-7238,620
219,36859-7248,620
220,36860-7249,620
221,36862-7250,620
214,36842-7241,620
247,37043-7297,620
238,36996-7283,620
240,37013-7286,620
241,37019-7288,620
243,37038-7293,620
236,36964-7277,620
229,36917-7264,620
95,33188-6577,620
191,36694-7167,620
175,34314-6748,620
116,33399-6678,620
125,33516-6640,620
90,33068-6681,620
