Date (YMD),Provincia,Code Provincia,Departamento,Code Departamento,lat,lon,hayRioCercano,distanciaRio,codeRio,tipoDeSuelo,estacion,inundacion,fecha,total_precipitation_sum,surface_runoff_sum,total_evaporation_sum,volumetric_soil_water_layer_1,temperature_2m
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-01-29,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-01-30,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-01-31,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-02-01,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-02-02,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-02-03,,,,,
2/2/1990,Salta,66,Metan,66112,-25.51643753,-64.60592651,True,6.06,9546-2814,Molisoles,verano,True,1990-02-04,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-01-29,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-01-30,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-01-31,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-02-01,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-02-02,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-02-03,,,,,
2/2/1990,Entre Rios,30,Islas del Ibicuy,30063,-33.7787707,-58.54070986,True,8.14,25459-1836,Entisoles,verano,True,1990-02-04,,,,,
2/2/1990,Cordoba,14,Punilla,14091,-31.10580063,-64.59128571,False,28.57,36828-7231,Molisoles,verano,True,1990-01-29,,,,,
2/2/1990,Cordoba,14,Punilla,14091,-31.10580063,-64.59128571,False,28.57,36828-7231,Molisoles,verano,True,1990-01-30,,,,,
2/2/1990,Cordoba,14,Punilla,14091,-31.10580063,-64.59128571,False,28.57,36828-7231,Molisoles,verano,True,1990-01-31,,,,,
2/2/1990,Cordoba,14,Punilla,14091,-31.10580063,-64.59128571,False,28.57,36828-7231,Molisoles,verano,True,1990-02-01,,,,,
2/2/1990,Cordoba,14,Punilla,14091,-31.10580063,-64.59128571,False,28.57,36828-7231,Molisoles,verano,True,1990-02-02,,,,,
