Code Departamento,distanciaRio,hayRioCercano,tipoDeSuelo,estacion,temperature_2m,total_evaporation_sum,volumetric_soil_water_layer_1,precipitation_1,precipitation_2,precipitation_3,precipitation_4,precipitation_5,precipitation_6,precipitation_7,seInunda
54028,8.07,False,Alfisoles,invierno,18.305905278523767,1.1485274881124,0.4676907857259114,34.3,26.8,36.2,46.4,10.2,15.4,3.2,1
06427,4.98,True,Molisoles,primavera,25.87834765116378,3.2360348850488,0.2061169942220052,5.9,11.9,37.4,0.0,0.0,0.2,17.7,1
50007,42.83,False,Entisoles,verano,23.260704294840536,0.9836694225668907,0.1657212575276692,0.0,0.0,0.0,21.7,20.8,21.2,6.2,1
14063,15.81,False,Molisoles,verano,23.013005193074548,3.0308440327644,0.4583409627278645,0.0,62.5,0.0,0.1,0.9,0.0,0.0,1
14063,15.81,False,Molisoles,verano,23.013005193074548,3.0308440327644,0.4583409627278645,0.0,62.5,0.0,0.1,0.9,0.0,0.0,1
14021,20.69,False,Miscelaneas,verano,22.690902328491234,3.0299136415123,0.3947563171386719,11.8,12.5,0.0,0.0,1.0,0.8,0.0,1
14140,12.54,False,Alfisoles,verano,24.542773183186853,4.043437540531101,0.2661972045898437,0.0,7.0,52.0,13.0,11.8,8.4,9.3,1
14140,12.54,False,Alfisoles,verano,24.542773183186853,4.043437540531101,0.2661972045898437,0.0,7.0,52.0,13.0,11.8,8.4,9.3,1
14140,12.54,False,Alfisoles,verano,24.542773183186853,4.043437540531101,0.2661972045898437,0.0,7.0,52.0,13.0,11.8,8.4,9.3,1
14098,23.14,False,Complejo indiferenci,verano,22.295784250895224,3.8398653268814,0.2536665598551432,0.0,5.6,47.7,10.5,5.8,13.7,24.2,1
06875,29.23,False,Molisoles,invierno,7.946944173177087,0.7848339155316353,0.120330810546875,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1
82042,8.61,False,Molisoles,invierno,11.402657445271814,1.8295068293809,0.4179623921712239,3.5,1.7,5.3,29.6,0.0,0.0,0.0,1
06357,17.47,False,Molisoles,invierno,9.2853885650635,1.5124753117561,0.4706554412841797,36.0,0.0,0.0,8.0,0.0,0.0,0.0,1
82105,29.33,False,Molisoles,verano,26.79014612833663,5.3363405168056,0.4292271931966145,0.0,46.0,0.4,0.1,0.0,3.0,0.4,1
82133,9.46,False,Lagunas,verano,27.51719690958663,5.7938434183597005,0.4737790425618489,4.9,28.6,19.4,1.9,1.5,0.0,0.6,1
82049,17.99,False,Alfisoles,verano,28.26223271687826,6.106188520789099,0.4304733276367187,13.5,3.0,13.2,2.8,7.5,1.1,0.9,1
22140,11.88,False,Complejo indiferenci,verano,29.24131800333663,6.455630064010601,0.3351128896077474,0.1,0.0,8.3,5.0,11.9,0.6,2.1,1
22014,18.89,False,Rio,verano,26.116256332397484,5.6894440203905,0.4446086883544922,7.2,0.2,40.5,54.0,0.1,0.3,15.6,1
22140,11.88,False,Complejo indiferenci,verano,26.390019353230798,5.4823188111186,0.3526604970296224,3.1,32.8,70.2,8.6,0.2,0.0,3.8,1
18077,41.46,False,Entisoles,verano,26.476689275105798,5.0402525812387,0.4406566619873047,8.8,0.0,25.6,71.8,0.0,0.0,14.0,1
18133,5.73,False,Rio,verano,26.31441713968917,5.427717231213999,0.2982584635416667,4.8,2.3,45.1,34.0,0.0,0.1,16.0,1
18049,11.96,False,Complejo indiferenci,verano,23.79635073343917,3.1634615734219,0.3705533345540364,4.5,37.6,29.1,0.2,0.5,0.0,0.1,1
18070,11.86,False,Rio,verano,25.00948549906417,4.0723429992794005,0.3581148783365885,6.2,64.6,53.7,1.3,0.0,0.0,1.6,1
18091,5.81,False,Complejo indiferenci,verano,25.419072087605798,4.3630031868815,0.3770885467529297,9.1,62.0,60.0,2.3,0.0,0.0,3.1,1
18021,6.4,False,Rio,verano,26.329635238647484,5.2703684195876,0.3476683298746745,3.3,4.2,42.1,22.6,0.0,0.0,15.1,1
82049,17.99,False,Alfisoles,verano,25.998906071980798,4.9820896238088,0.4346815745035807,1.3,33.7,62.1,0.5,0.3,0.0,6.3,1
82063,23.73,False,Molisoles,verano,24.481327946980798,3.1191045418381003,0.3790321350097656,0.0,7.2,0.5,0.0,0.0,0.0,0.0,1
18021,6.4,False,Rio,primavera,20.856970087687216,7.449916563928101,0.3406505584716797,0.0,0.9,3.4,4.6,9.2,0.0,0.0,1
22014,18.89,False,Rio,verano,26.116256332397484,5.6894440203905,0.4446086883544922,7.2,0.2,40.5,54.0,0.1,0.3,15.6,1
30028,7.52,False,Molisoles,verano,23.26900698343917,3.287136554718,0.2706788380940755,9.6,8.4,23.5,0.6,0.1,0.2,0.0,1
30028,7.52,False,Molisoles,verano,23.26900698343917,3.287136554718,0.2706788380940755,9.6,8.4,23.5,0.6,0.1,0.2,0.0,1
30008,25.96,False,Entisoles,verano,22.919316228230798,3.7220772355794,0.4270165761311849,1.6,28.7,20.5,0.1,0.0,0.4,0.0,1
30098,5.89,False,Entisoles,verano,22.91817690531417,4.338395781815,0.2396729787190755,2.3,21.5,14.4,0.0,0.0,0.0,0.0,1
34049,50.93,False,Rio,verano,27.102665837605798,6.1954213306307,0.4473756154378255,4.3,0.3,0.9,25.8,3.2,10.7,26.2,1
30015,4.51,True,Vertisoles,verano,23.055953598022484,3.4779319539666,0.2461783091227213,5.6,36.9,19.8,0.2,0.1,0.1,0.0,1
30070,11.16,False,Molisoles,verano,23.434697087605798,2.9983539134262998,0.4305744171142578,1.8,7.9,9.2,0.0,0.6,0.0,0.0,1
30008,25.96,False,Entisoles,verano,22.919316228230798,3.7220772355794,0.4270165761311849,1.6,28.7,20.5,0.1,0.0,0.4,0.0,1
30098,5.89,False,Entisoles,verano,22.91817690531417,4.338395781815,0.2396729787190755,2.3,21.5,14.4,0.0,0.0,0.0,0.0,1
30015,4.51,True,Vertisoles,verano,23.055953598022484,3.4779319539666,0.2461783091227213,5.6,36.9,19.8,0.2,0.1,0.1,0.0,1
18119,15.85,False,Molisoles,verano,22.696415837605798,3.2842839136719,0.4321206410725911,26.5,34.9,22.5,0.3,0.0,0.4,0.0,1
18168,3.13,True,Ultisoles,verano,24.608199691772484,3.3810213208198,0.4887746175130208,23.5,15.7,7.9,74.4,0.3,0.0,3.8,1
18049,11.96,False,Complejo indiferenci,verano,23.79635073343917,3.1634615734219,0.3705533345540364,4.5,37.6,29.1,0.2,0.5,0.0,0.1,1
18070,11.86,False,Rio,verano,25.00948549906417,4.0723429992794005,0.3581148783365885,6.2,64.6,53.7,1.3,0.0,0.0,1.6,1
