,date,rio_id,lat,lon,altura_value,precipitaciones_value
0,2023-01-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,1.6
1,2023-01-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2,2023-01-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
3,2023-01-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
4,2023-01-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
5,2023-01-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
6,2023-01-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
7,2023-01-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
8,2023-01-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.7
9,2023-01-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.4
10,2023-01-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
11,2023-01-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
12,2023-01-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
13,2023-01-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
14,2023-01-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
15,2023-01-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,4.0
16,2023-01-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.8
17,2023-01-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.4
18,2023-01-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,1.0
19,2023-01-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,16.4
20,2023-01-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
21,2023-01-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
22,2023-01-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
23,2023-01-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
24,2023-01-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,9.5
25,2023-01-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
26,2023-01-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
27,2023-01-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
28,2023-01-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
29,2023-01-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
30,2023-01-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.3
31,2023-02-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
32,2023-02-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
33,2023-02-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
34,2023-02-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
35,2023-02-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
36,2023-02-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
37,2023-02-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
38,2023-02-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
39,2023-02-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
40,2023-02-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
41,2023-02-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
42,2023-02-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
43,2023-02-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
44,2023-02-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
45,2023-02-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
46,2023-02-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
47,2023-02-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
48,2023-02-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
49,2023-02-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
50,2023-02-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
51,2023-02-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
52,2023-02-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
53,2023-02-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
54,2023-02-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.2
55,2023-02-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
56,2023-02-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
57,2023-02-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
58,2023-02-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
59,2023-03-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
60,2023-03-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
61,2023-03-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
62,2023-03-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
63,2023-03-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
64,2023-03-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
65,2023-03-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
66,2023-03-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.7
67,2023-03-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.4
68,2023-03-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
69,2023-03-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
70,2023-03-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.5
71,2023-03-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
72,2023-03-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
73,2023-03-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,6.8
74,2023-03-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.9
75,2023-03-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,10.0
76,2023-03-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,46.6
77,2023-03-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,5.1
78,2023-03-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
79,2023-03-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
80,2023-03-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
81,2023-03-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
82,2023-03-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.7
83,2023-03-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
84,2023-03-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
85,2023-03-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
86,2023-03-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
87,2023-03-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
88,2023-03-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
89,2023-03-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
90,2023-04-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
91,2023-04-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
92,2023-04-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
93,2023-04-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
94,2023-04-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
95,2023-04-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
96,2023-04-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
97,2023-04-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
98,2023-04-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
99,2023-04-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.3
100,2023-04-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
101,2023-04-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
102,2023-04-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.2
103,2023-04-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
104,2023-04-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
105,2023-04-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
106,2023-04-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
107,2023-04-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
108,2023-04-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
109,2023-04-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
110,2023-04-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
111,2023-04-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
112,2023-04-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
113,2023-04-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
114,2023-04-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
115,2023-04-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
116,2023-04-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
117,2023-04-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
118,2023-04-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
119,2023-04-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,9.0
120,2023-05-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
121,2023-05-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
122,2023-05-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
123,2023-05-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
124,2023-05-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
125,2023-05-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
126,2023-05-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
127,2023-05-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
128,2023-05-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
129,2023-05-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
130,2023-05-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
