Unnamed: 0,timeend,valor,rio_id,lat,lon
212694,2020-10-21,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212695,2020-10-22,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212696,2020-10-23,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212697,2020-10-24,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212698,2020-10-25,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212699,2020-10-26,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212700,2020-10-27,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212701,2020-10-28,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212702,2020-10-29,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212703,2020-10-30,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212704,2020-10-31,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212705,2020-11-01,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212706,2020-11-02,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212707,2020-11-03,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212708,2020-11-04,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212709,2020-11-05,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212710,2020-11-06,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212711,2020-11-07,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212712,2020-11-08,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212713,2020-11-09,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212714,2020-11-10,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212715,2020-11-11,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212716,2020-11-12,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212717,2020-11-13,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212718,2020-11-14,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212719,2020-11-15,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212720,2020-11-16,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212721,2020-11-17,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212722,2020-11-18,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212723,2020-11-19,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212724,2020-11-20,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212725,2020-11-21,1.28,9410-2823,-25.2677777777778,-65.2372222222222
212726,2020-11-22,1.28,9410-2823,-25.2677777777778,-65.2372222222222
212727,2020-11-23,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212728,2020-11-24,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212729,2020-11-25,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212730,2020-11-26,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212731,2020-11-27,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212732,2020-11-28,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212733,2020-11-30,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212734,2020-12-01,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212735,2020-12-02,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212736,2020-12-03,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212737,2020-12-04,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212738,2020-12-05,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212739,2020-12-06,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212740,2020-12-07,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212741,2020-12-08,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212742,2020-12-09,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212743,2020-12-10,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212744,2020-12-11,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212745,2020-12-12,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212746,2020-12-13,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212747,2020-12-14,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212748,2020-12-15,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212749,2020-12-16,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212750,2020-12-17,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212751,2020-12-19,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212752,2020-12-20,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212753,2020-12-21,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212754,2020-12-22,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212755,2020-12-23,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212756,2020-12-24,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212757,2020-12-25,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212758,2020-12-26,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212759,2020-12-27,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212760,2020-12-28,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212761,2020-12-29,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212762,2020-12-30,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212763,2020-12-31,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212764,2021-01-01,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212765,2021-01-02,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212766,2021-01-03,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212767,2021-01-04,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212768,2021-01-05,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212769,2021-01-06,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212770,2021-01-07,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212771,2021-01-08,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212772,2021-01-09,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212773,2021-01-10,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212774,2021-01-11,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212775,2021-01-12,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212776,2021-01-13,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212777,2021-01-14,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212778,2021-01-15,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212779,2021-01-16,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212780,2021-01-17,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212781,2021-01-18,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212782,2021-01-19,1.36,9410-2823,-25.2677777777778,-65.2372222222222
