date,rio_id,lat,lon,altura_value,precipitaciones_value
2023-01-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,1.6
2023-01-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-01-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-01-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.7
2023-01-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.4
2023-01-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,4.0
2023-01-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.8
2023-01-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.4
2023-01-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,1.0
2023-01-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,16.4
2023-01-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-01-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,9.5
2023-01-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-01-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.3
2023-02-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.2
2023-02-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-02-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.7
2023-03-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.4
2023-03-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.5
2023-03-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,6.8
2023-03-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,3.9
2023-03-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,10.0
2023-03-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,46.6
2023-03-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,5.1
2023-03-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-03-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-03-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-03-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.7
2023-03-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-03-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-04-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.3
2023-04-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-04-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.2
2023-04-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
2023-04-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
2023-04-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-04-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-04-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,9.0
2023-05-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-05-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.2
2023-05-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
2023-05-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.7
2023-05-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
2023-05-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-05-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
2023-06-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.5
2023-06-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
2023-06-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-06-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-06-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-06-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,4.8
2023-06-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.0
2023-06-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,9.9
2023-06-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,9.6
2023-06-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,4.0
2023-06-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-06-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.7
2023-07-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,3.5
2023-07-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,3.3
2023-07-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
2023-07-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
